OID_,Date,Time,Latitude,Longitude,Turtle_ID,Turtle_sex,Altitude,Duration,Temperature,Voltage,DOP,Satellites,EST_Time,NEAR_FID,NEAR_DIST
368,5/21/2022 0:00:00,7:00,41.578528030000001,-71.720277929999995,L3R1,male,25.463333330000001,70.000000000000000,20.666666670000001,0,2.800000000000000,3.666666667000000,5/21/2022 7:00:00,2,12.659909130537343
369,5/21/2022 0:00:00,13:00,41.578496770000001,-71.721081799999993,L3R1,male,22.343333330000000,70.000000000000000,39.000000000000000,0,2.266666667000000,4.000000000000000,5/21/2022 13:00:00,2,53.636536368065514
370,5/21/2022 0:00:00,19:00,41.578445199999997,-71.720898099999999,L3R1,male,34.823333329999997,19.666666670000001,26.833333329999999,0,2.066666667000000,4.666666667000000,5/21/2022 19:00:00,2,39.652639258191471
371,5/22/2022 0:00:00,7:00,41.578503269999999,-71.720998499999993,L3R1,male,19.016666669999999,63.333333330000002,18.833333329999999,0,2.533333333000000,4.333333333000000,5/22/2022 7:00:00,2,46.674104419462189
372,5/22/2022 0:00:00,13:00,41.578494630000002,-71.721001200000003,L3R1,male,10.553333329999999,49.000000000000000,42.333333330000002,0,1.866666667000000,4.666666667000000,5/22/2022 13:00:00,2,47.072584199750281
373,5/22/2022 0:00:00,19:00,41.578457770000000,-71.721040869999996,L3R1,male,38.780000000000001,35.666666669999998,30.000000000000000,0,2.800000000000000,4.000000000000000,5/22/2022 19:00:00,2,51.080321359654342
374,5/23/2022 0:00:00,7:00,41.578632200000001,-71.720357100000001,L3R1,male,1.366666667000000,70.000000000000000,22.333333329999999,0,2.200000000000000,4.000000000000000,5/23/2022 7:00:00,2,8.552052251818608
375,5/23/2022 0:00:00,13:00,41.578653670000001,-71.720094930000002,L3R1,male,25.806666669999998,45.666666669999998,36.166666669999998,0,2.533333333000000,4.666666667000000,5/23/2022 13:00:00,2,30.485501114885494
376,5/23/2022 0:00:00,19:00,41.578638230000003,-71.720164330000003,L3R1,male,29.243333329999999,45.666666669999998,24.833333329999999,0,1.866666667000000,4.333333333000000,5/23/2022 19:00:00,2,24.479402304278089
377,5/24/2022 0:00:00,7:00,41.578631999999999,-71.720102569999995,L3R1,male,21.986666670000002,23.000000000000000,15.500000000000000,0,1.400000000000000,5.000000000000000,5/24/2022 7:00:00,2,29.414961694851662
378,5/24/2022 0:00:00,13:00,41.578586070000000,-71.719955929999998,L3R1,male,17.696666669999999,49.666666669999998,31.500000000000000,0,1.866666667000000,4.666666667000000,5/24/2022 13:00:00,2,40.243593925629177
379,5/25/2022 0:00:00,13:00,41.576928750000000,-71.719933900000001,L3R1,male,8.195000000000000,29.500000000000000,32.500000000000000,0,1.600000000000000,5.000000000000000,5/25/2022 13:00:00,2,10.408492186054502
380,5/26/2022 0:00:00,13:00,41.575112969999999,-71.720285369999999,L3R1,male,5.473333333000000,67.000000000000000,38.000000000000000,0,2.000000000000000,4.333333333000000,5/26/2022 13:00:00,2,8.789598545588868
381,5/27/2022 0:00:00,7:00,41.568483970000003,-71.716190670000003,L3R1,male,-20.936666670000001,41.666666669999998,19.666666670000001,0,1.933333333000000,4.333333333000000,5/27/2022 7:00:00,2,346.788875636924672
382,5/27/2022 0:00:00,13:00,41.568356430000001,-71.715941630000003,L3R1,male,21.660000000000000,30.666666670000001,25.000000000000000,0,1.600000000000000,5.000000000000000,5/27/2022 13:00:00,2,371.734714096148934
383,5/27/2022 0:00:00,19:00,41.568519700000003,-71.716075770000003,L3R1,male,31.859999999999999,28.333333329999999,22.333333329999999,0,1.866666667000000,5.000000000000000,5/27/2022 19:00:00,2,351.410408407563352
384,5/28/2022 0:00:00,7:00,41.568391200000001,-71.715904399999999,L3R1,male,-0.280000000000000,70.000000000000000,23.000000000000000,0,2.400000000000000,4.000000000000000,5/28/2022 7:00:00,2,371.550786684958098
385,5/28/2022 0:00:00,13:00,41.568419200000001,-71.716011069999993,L3R1,male,31.383333329999999,40.333333330000002,23.166666670000001,0,1.600000000000000,5.000000000000000,5/28/2022 13:00:00,2,362.782596126361796
386,5/28/2022 0:00:00,19:00,41.568490629999999,-71.716088900000003,L3R1,male,7.870000000000000,18.666666670000001,22.333333329999999,0,1.200000000000000,6.000000000000000,5/28/2022 19:00:00,2,352.677719587990509
