"","Turtle_ID","Latitude","Longitude","Longitude.1","Latitude.1","optional"
"440","L3R1",41.57859783,-71.72133107,273134.688562971,4606567.05815923,TRUE
"441","L3R1",41.5778667,-71.71847995,273369.837197712,4606478.38215673,TRUE
"442","L3R1",41.57794787,-71.7187701,273345.930249,4606488.1572528,TRUE
"443","L3R1",41.578328,-71.71803423,273408.612440028,4606528.4320521,TRUE
"444","L3R1",41.57833747,-71.71806937,273405.715826338,4606529.57586623,TRUE
"445","L3R1",41.5807656,-71.7179689,273422.586701091,4606798.92126252,TRUE
"446","L3R1",41.5813299,-71.71732867,273477.936559154,4606859.89724325,TRUE
"447","L3R1",41.58171943,-71.71760007,273456.672619926,4606903.86178624,TRUE
"448","L3R1",41.58172733,-71.71753293,273462.297652972,4606904.56263535,TRUE
"449","L3R1",41.5818087,-71.71775397,273444.154402055,4606914.17816618,TRUE
"450","L3R1",41.58154427,-71.7177879,273440.400658537,4606884.90608625,TRUE
"451","L3R1",41.58153277,-71.7178212,273437.584230836,4606883.71663984,TRUE
"452","L3R1",41.57988397,-71.71820343,273399.949335894,4606701.64485142,TRUE
"453","L3R1",41.57828967,-71.7179637,273414.358682969,4606523.99078739,TRUE
"454","L3R1",41.5785913,-71.7180553,273407.776875173,4606557.72311509,TRUE
"455","L3R1",41.57864413,-71.71805637,273407.872484067,4606563.5919453,TRUE
"456","L3R1",41.57870215,-71.7180332,273410.007210573,4606569.9733778,TRUE
"457","L3R1",41.57789585,-71.71861635,273358.566973849,4606481.97720841,TRUE
"458","L3R1",41.5777573,-71.7198413,273255.952961402,4606469.81228035,TRUE
"459","L3R1",41.57760613,-71.72006237,273236.992198707,4606453.60811243,TRUE
"460","L3R1",41.5777568,-71.72010797,273233.717812115,4606470.45774374,TRUE
"461","L3R1",41.5772695,-71.71908845,273317.014117604,4606413.67043081,TRUE
"462","L3R1",41.5774763,-71.7189097,273332.641037051,4606436.16292451,TRUE
"463","L3R1",41.57749863,-71.71894583,273329.706856446,4606438.73728929,TRUE
"464","L3R1",41.57748667,-71.71914167,273313.336932518,4606437.92391874,TRUE
